movie Name,movie year,movie Rate,movie duration,movie certificate,movie URL
106. Up,2009,8.3,96,U,https://www.imdb.com/title/tt1049413/?ref_=chttp_i_106
107. M,1931,8.3,117,A,https://www.imdb.com/title/tt0022100/?ref_=chttp_i_107
113. A Separation,2011,8.3,123,PG,https://www.imdb.com/title/tt1832382/?ref_=chttp_i_113
112. Like Stars on Earth,2007,8.3,162,PG,https://www.imdb.com/title/tt0986264/?ref_=chttp_i_112
111. Amélie,2001,8.3,122,15,https://www.imdb.com/title/tt0211915/?ref_=chttp_i_111
114. To Kill a Mockingbird,1962,8.3,129,A,https://www.imdb.com/title/tt0056592/?ref_=chttp_i_114
121. Oppenheimer,2023,8.3,180,15,https://www.imdb.com/title/tt15398776/?ref_=chttp_i_121
119. Metropolis,1927,8.3,153,A,https://www.imdb.com/title/tt0017136/?ref_=chttp_i_119
90. Come and See,1985,8.3,142,15,https://www.imdb.com/title/tt0091251/?ref_=chttp_i_90
86. Joker,2019,8.3,122,15,https://www.imdb.com/title/tt7286456/?ref_=chttp_i_86
135. Judgment at Nuremberg,1961,8.3,179,A,https://www.imdb.com/title/tt0055031/?ref_=chttp_i_135
126. Dangal,2016,8.3,161,PG,https://www.imdb.com/title/tt5074352/?ref_=chttp_i_126
130. Hamilton,2020,8.3,169,12,https://www.imdb.com/title/tt8503618/?ref_=chttp_i_130
89. Singin' in the Rain,1952,8.3,103,U,https://www.imdb.com/title/tt0045152/?ref_=chttp_i_89
88. Once Upon a Time in America,1984,8.3,229,18,https://www.imdb.com/title/tt0087843/?ref_=chttp_i_88
109. Full Metal Jacket,1987,8.2,116,18,https://www.imdb.com/title/tt0093058/?ref_=chttp_i_109
110. Vertigo,1958,8.2,128,A,https://www.imdb.com/title/tt0052357/?ref_=chttp_i_110
122. 1917,2019,8.2,119,15,https://www.imdb.com/title/tt8579674/?ref_=chttp_i_122
120. Snatch,2000,8.2,104,18,https://www.imdb.com/title/tt0208092/?ref_=chttp_i_120
117. The Sting,1973,8.2,129,A,https://www.imdb.com/title/tt0070735/?ref_=chttp_i_117
118. A Clockwork Orange,1971,8.2,136,X,https://www.imdb.com/title/tt0066921/?ref_=chttp_i_118
